"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26892","Test Product Detail Page Functionality","","Sun Oct 13 14:07:39 BDT 2024","passed","Sun Oct 13 14:08:06 BDT 2024","","CuisinartTest","CuisinartTest","testProductDetailPage"
"","9167","Verify Basic Authentication for Cuisinart Stage Environment","","Sun Oct 13 14:04:53 BDT 2024","passed","Sun Oct 13 14:05:02 BDT 2024","","CuisinartTest","CuisinartTest","testBasicAuth"
"","30558","Test Shipping Information Submission Flow","","Sun Oct 13 14:05:40 BDT 2024","passed","Sun Oct 13 14:06:10 BDT 2024","","CuisinartTest","CuisinartTest","testInformationShippingPage"
"","38406","Test Footer Links Functionality","","Sun Oct 13 14:08:06 BDT 2024","passed","Sun Oct 13 14:08:44 BDT 2024","","CuisinartTest","CuisinartTest","testFooterLinks"
"","37969","Test My Account Page Functionality","","Sun Oct 13 14:05:02 BDT 2024","broken","Sun Oct 13 14:05:40 BDT 2024","","CuisinartTest","CuisinartTest","myAccountPage"
"","35165","Test Cart Page Functionality","","Sun Oct 13 14:09:49 BDT 2024","passed","Sun Oct 13 14:10:24 BDT 2024","","CuisinartTest","CuisinartTest","testCartPage"
"","23133","Test Category Landing Page Navigation","","Sun Oct 13 14:03:42 BDT 2024","passed","Sun Oct 13 14:04:05 BDT 2024","","CuisinartTest","CuisinartTest","testCategoryLandingPage"
"","64016","Test Shipping Page Functionality: Add Item to Cart and Complete Checkout","","Sun Oct 13 14:08:44 BDT 2024","broken","Sun Oct 13 14:09:48 BDT 2024","","CuisinartTest","CuisinartTest","testShippingPage"
"","60784","Test payment process on the  site","","Sun Oct 13 14:10:24 BDT 2024","broken","Sun Oct 13 14:11:24 BDT 2024","","CuisinartTest","CuisinartTest","testPaymentPage"
"","47095","Test order confirmation on the  site","","Sun Oct 13 14:04:05 BDT 2024","passed","Sun Oct 13 14:04:53 BDT 2024","","CuisinartTest","CuisinartTest","orderConfirmationPage"
"","88742","Verify Navigation and Functionality on Cuisinart Home Page","","Sun Oct 13 14:06:10 BDT 2024","passed","Sun Oct 13 14:07:39 BDT 2024","","CuisinartTest","CuisinartTest","testHomePage"
